exam,id,book,chapter,set,question,sourceFile,pdfPage,answerPage,availability,keyPosition,graded,issue,topic
Exam 1,b1-c1-s1-q23,1,1,1,23,Copy of Book 1.pdf,51,221,Located in assigned book,2,True,,Processing
Exam 1,b1-c1-s1-q24,1,1,1,24,Copy of Book 1.pdf,51,221,Located in assigned book,2,True,,Bonding mechanisms
Exam 1,b1-c1-s1-q25,1,1,1,25,Copy of Book 1.pdf,52,222,Located in assigned book,1,True,,Bonding mechanisms
Exam 1,b1-c1-s1-q26,1,1,1,26,Copy of Book 1.pdf,52,222,Located in assigned book,3,True,,Bonding mechanisms
Exam 1,b1-c1-s1-q27,1,1,1,27,Copy of Book 1.pdf,52,222,Located in assigned book,4,True,,Bonding mechanisms
Exam 1,b1-c1-s1-q28,1,1,1,28,Copy of Book 1.pdf,52,222,Located in assigned book,2,True,,Mechanical properties
Exam 1,b1-c1-s1-q29,1,1,1,29,Copy of Book 1.pdf,52,222,Located in assigned book,2,True,,Heat and electrical transport
Exam 1,b1-c1-s1-q30,1,1,1,30,Copy of Book 1.pdf,53,223,Located in assigned book,4,True,,Heat and electrical transport
Exam 1,b1-c1-s2-q01,1,1,2,1,Copy of Book 1.pdf,54,224,Located in assigned book,1,True,,Processing
Exam 1,b1-c1-s2-q02,1,1,2,2,Copy of Book 1.pdf,54,224,Located in assigned book,2,True,,Bonding mechanisms
Exam 1,b1-c1-s2-q03,1,1,2,3,Copy of Book 1.pdf,54,224,Located in assigned book,3,True,,Bonding mechanisms
Exam 1,b1-c1-s2-q04,1,1,2,4,Copy of Book 1.pdf,54,224,Located in assigned book,4,True,,Mechanical properties
Exam 1,b1-c1-s2-q05,1,1,2,5,Copy of Book 1.pdf,55,225,Located in assigned book,2,True,,Heat and electrical transport
Exam 1,b1-c1-s2-q06,1,1,2,6,Copy of Book 1.pdf,55,225,Located in assigned book,5,True,,Heat and electrical transport
Exam 1,b1-c1-s2-q07,1,1,2,7,Copy of Book 1.pdf,55,225,Located in assigned book,1,True,,Heat and electrical transport
Exam 1,b1-c1-s2-q08,1,1,2,8,Copy of Book 1.pdf,55,225,Located in assigned book,3,True,,Bonding mechanisms
Exam 1,b1-c1-s2-q09,1,1,2,9,Copy of Book 1.pdf,55,225,Located in assigned book,4,True,,Mechanical properties
Exam 1,b1-c1-s2-q10,1,1,2,10,Copy of Book 1.pdf,56,226,Located in assigned book,2,True,,Heat and electrical transport
Exam 1,b1-c1-s2-q11,1,1,2,11,Copy of Book 1.pdf,56,226,Located in assigned book,5,True,,Heat and electrical transport
Exam 1,b1-c1-s2-q12,1,1,2,12,Copy of Book 1.pdf,56,226,Located in assigned book,1,True,,Heat and electrical transport
Exam 1,b1-c1-s2-q13,1,1,2,13,Copy of Book 1.pdf,56,226,Located in assigned book,2,True,,Material families
Exam 1,b1-c1-s2-q14,1,1,2,14,Copy of Book 1.pdf,56,226,Located in assigned book,4,True,,Material families
Exam 1,b1-c1-s2-q15,1,1,2,15,Copy of Book 1.pdf,57,227,Located in assigned book,1,True,,Material families
Exam 1,b1-c1-s2-q16,1,1,2,16,Copy of Book 1.pdf,57,227,Located in assigned book,2,True,Drawing also occurs in polymer processing; this question uses the chapter’s metal-wire example.,Processing
Exam 1,b1-c1-s2-q17,1,1,2,17,Copy of Book 1.pdf,57,227,Located in assigned book,3,False,Both metals and ceramics can be sintered. The book intends its ceramic-powder example but the standalone wording is broad. Excluded from mastery scoring.,Processing
Exam 1,b1-c1-s2-q18,1,1,2,18,Copy of Book 1.pdf,57,227,Located in assigned book,1,True,,Processing
Exam 1,b1-c1-s2-q19,1,1,2,19,Copy of Book 1.pdf,57,227,Located in assigned book,3,True,,Processing
Exam 1,b1-c1-s2-q20,1,1,2,20,Copy of Book 1.pdf,58,228,Located in assigned book,4,True,,Processing
Exam 1,b1-c1-s2-q21,1,1,2,21,Copy of Book 1.pdf,58,228,Located in assigned book,2,True,,Processing
Exam 1,b1-c1-s2-q22,1,1,2,22,Copy of Book 1.pdf,58,228,Located in assigned book,1,True,,Processing
Exam 1,b1-c1-s2-q23,1,1,2,23,Copy of Book 1.pdf,58,228,Located in assigned book,3,True,,Processing
Exam 1,b1-c1-s2-q24,1,1,2,24,Copy of Book 1.pdf,59,229,Located in assigned book,1,True,"Six choices are printed, including two labeled a. Position numbers distinguish them without changing the PDF.",Processing
Exam 1,b1-c1-s2-q25,1,1,2,25,Copy of Book 1.pdf,59,229,Located in assigned book,5,True,The marked option describes densification; external compression is not required for all sintering.,Processing
Exam 1,b1-c1-s2-q26,1,1,2,26,Copy of Book 1.pdf,59,229,Located in assigned book,3,True,,Processing
Exam 1,b1-c1-s2-q27,1,1,2,27,Copy of Book 1.pdf,59,229,Located in assigned book,2,True,,Processing
Exam 1,b1-c1-s2-q28,1,1,2,28,Copy of Book 1.pdf,59,229,Located in assigned book,1,True,The best printed choice says rod; tube drawing more precisely starts from hollow tubing.,Processing
Exam 1,b1-c1-s2-q29,1,1,2,29,Copy of Book 1.pdf,60,230,Located in assigned book,4,True,,Processing
Exam 1,b1-c1-s2-q30,1,1,2,30,Copy of Book 1.pdf,60,230,Located in assigned book,1,True,,Processing
Exam 1,b1-c2-s1-q01,1,2,1,1,Copy of Book 1.pdf,77,247,Located in assigned book,1,True,,Atomic particles
Exam 1,b1-c2-s1-q02,1,2,1,2,Copy of Book 1.pdf,77,247,Located in assigned book,2,True,,Atomic particles
Exam 1,b1-c2-s1-q03,1,2,1,3,Copy of Book 1.pdf,77,247,Located in assigned book,3,True,,Atomic particles
Exam 1,b1-c2-s1-q04,1,2,1,4,Copy of Book 1.pdf,78,248,Located in assigned book,1,True,,Atomic particles
Exam 1,b1-c2-s1-q05,1,2,1,5,Copy of Book 1.pdf,78,248,Located in assigned book,5,True,,Atomic particles
Exam 1,b1-c2-s1-q06,1,2,1,6,Copy of Book 1.pdf,78,248,Located in assigned book,2,True,,Atomic particles
Exam 1,b1-c2-s1-q07,1,2,1,7,Copy of Book 1.pdf,78,248,Located in assigned book,2,True,,Atomic particles
Exam 1,b1-c2-s1-q08,1,2,1,8,Copy of Book 1.pdf,79,249,Located in assigned book,2,True,,Atomic quantities
Exam 1,b1-c2-s1-q09,1,2,1,9,Copy of Book 1.pdf,79,249,Located in assigned book,5,True,,Atomic particles
Exam 1,b1-c2-s1-q10,1,2,1,10,Copy of Book 1.pdf,79,249,Located in assigned book,5,True,,Periodic table applications
Exam 1,b1-c2-s1-q11,1,2,1,11,Copy of Book 1.pdf,79,249,Located in assigned book,1,True,,Periodic table applications
Exam 1,b1-c2-s1-q12,1,2,1,12,Copy of Book 1.pdf,79,249,Located in assigned book,3,True,,Periodic table applications
Exam 1,b1-c2-s1-q13,1,2,1,13,Copy of Book 1.pdf,80,250,Located in assigned book,1,True,,Bonding mechanisms
Exam 1,b1-c2-s1-q14,1,2,1,14,Copy of Book 1.pdf,80,250,Located in assigned book,2,True,,Bonding mechanisms
Exam 1,b1-c2-s1-q15,1,2,1,15,Copy of Book 1.pdf,80,250,Located in assigned book,3,True,,Bonding mechanisms
Exam 1,b1-c2-s1-q16,1,2,1,16,Copy of Book 1.pdf,80,250,Located in assigned book,4,True,The book uses atomic weight for molar mass. Strict relative atomic weight is dimensionless.,Atomic quantities
Exam 1,b1-c2-s1-q17,1,2,1,17,Copy of Book 1.pdf,81,251,Located in assigned book,1,True,,Atomic quantities
Exam 1,b1-c2-s1-q18,1,2,1,18,Copy of Book 1.pdf,81,251,Located in assigned book,2,True,,Atomic quantities
Exam 1,b1-c2-s1-q19,1,2,1,19,Copy of Book 1.pdf,81,251,Located in assigned book,2,True,The book uses weight loosely for mass and atomic weight for a molar quantity.,Atomic quantities
Exam 1,b1-c2-s1-q20,1,2,1,20,Copy of Book 1.pdf,81,251,Located in assigned book,2,True,,Purpose and selection
Exam 1,b1-c2-s1-q21,1,2,1,21,Copy of Book 1.pdf,81,251,Located in assigned book,4,True,,Purpose and selection
Exam 1,b1-c2-s1-q22,1,2,1,22,Copy of Book 1.pdf,82,252,Located in assigned book,5,True,,Periodic table applications
Exam 1,b1-c2-s1-q23,1,2,1,23,Copy of Book 1.pdf,82,252,Located in assigned book,1,True,,Periodic table applications
Exam 1,b1-c2-s1-q24,1,2,1,24,Copy of Book 1.pdf,82,252,Located in assigned book,2,False,"Electronic structure also affects magnetism, so more than one option is scientifically plausible. Excluded from mastery scoring.",Periodic table applications
Exam 1,b1-c2-s1-q25,1,2,1,25,Copy of Book 1.pdf,82,252,Located in assigned book,1,True,,Periodic table applications
Exam 1,b1-c2-s1-q26,1,2,1,26,Copy of Book 1.pdf,83,253,Located in assigned book,3,True,,Periodic table applications
Exam 1,b1-c2-s1-q27,1,2,1,27,Copy of Book 1.pdf,83,253,Located in assigned book,1,True,,Quantum numbers
Exam 1,b1-c2-s1-q28,1,2,1,28,Copy of Book 1.pdf,83,253,Located in assigned book,2,True,,Quantum numbers
Exam 1,b1-c2-s1-q29,1,2,1,29,Copy of Book 1.pdf,83,253,Located in assigned book,2,True,,Quantum numbers
Exam 1,b1-c2-s1-q30,1,2,1,30,Copy of Book 1.pdf,83,253,Located in assigned book,2,True,,Quantum numbers
Exam 1,b1-c2-s2-q01,1,2,2,1,Copy of Book 1.pdf,85,255,Located in assigned book,2,True,,Quantum numbers
Exam 1,b1-c2-s2-q02,1,2,2,2,Copy of Book 1.pdf,85,255,Located in assigned book,5,True,,Quantum numbers
Exam 1,b1-c2-s2-q03,1,2,2,3,Copy of Book 1.pdf,85,255,Located in assigned book,3,True,,Quantum numbers
Exam 1,b1-c2-s2-q04,1,2,2,4,Copy of Book 1.pdf,85,255,Located in assigned book,4,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q05,1,2,2,5,Copy of Book 1.pdf,86,256,Located in assigned book,1,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q06,1,2,2,6,Copy of Book 1.pdf,86,256,Located in assigned book,1,True,,Electron filling
Exam 1,b1-c2-s2-q07,1,2,2,7,Copy of Book 1.pdf,86,256,Located in assigned book,3,True,,Electron filling
Exam 1,b1-c2-s2-q08,1,2,2,8,Copy of Book 1.pdf,86,256,Located in assigned book,4,True,,Electron filling
Exam 1,b1-c2-s2-q09,1,2,2,9,Copy of Book 1.pdf,87,257,Located in assigned book,1,True,,Electron filling
Exam 1,b1-c2-s2-q10,1,2,2,10,Copy of Book 1.pdf,87,257,Located in assigned book,,False,"No answer is marked on PDF page 257. The expected Aufbau result is explained after submission, but no official key is assumed. Ask the instructor to confirm.",Electron filling
Exam 1,b1-c2-s2-q11,1,2,2,11,Copy of Book 1.pdf,87,257,Located in assigned book,1,True,,Electron filling
Exam 1,b1-c2-s2-q12,1,2,2,12,Copy of Book 1.pdf,87,257,Located in assigned book,2,True,,Electron filling
Exam 1,b1-c2-s2-q13,1,2,2,13,Copy of Book 1.pdf,88,258,Located in assigned book,4,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q14,1,2,2,14,Copy of Book 1.pdf,88,258,Located in assigned book,2,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q15,1,2,2,15,Copy of Book 1.pdf,88,258,Located in assigned book,2,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q16,1,2,2,16,Copy of Book 1.pdf,88,258,Located in assigned book,5,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q17,1,2,2,17,Copy of Book 1.pdf,89,259,Located in assigned book,4,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q18,1,2,2,18,Copy of Book 1.pdf,89,259,Located in assigned book,3,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q19,1,2,2,19,Copy of Book 1.pdf,89,259,Located in assigned book,2,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q20,1,2,2,20,Copy of Book 1.pdf,89,259,Located in assigned book,1,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q21,1,2,2,21,Copy of Book 1.pdf,89,260,Located in assigned book,1,True,,Valence and periodic groups
Exam 1,b1-c2-s2-q22,1,2,2,22,Copy of Book 1.pdf,90,260,Located in assigned book,1,True,,Electron filling
Exam 1,b1-c2-s2-q23,1,2,2,23,Copy of Book 1.pdf,90,260,Located in assigned book,2,True,,Electron filling
Exam 1,b1-c2-s2-q24,1,2,2,24,Copy of Book 1.pdf,90,260,Located in assigned book,3,True,Six choices are printed with two c labels. Position numbers distinguish the choices.,Electron filling
Exam 1,b1-c2-s2-q25,1,2,2,25,Copy of Book 1.pdf,90,260,Located in assigned book,5,True,Six choices are printed with two c labels. Position numbers distinguish the choices.,Electron filling
Exam 1,b1-c2-s2-q26,1,2,2,26,Copy of Book 1.pdf,91,261,Located in assigned book,2,True,,Bonding mechanisms
Exam 1,b1-c2-s2-q27,1,2,2,27,Copy of Book 1.pdf,91,261,Located in assigned book,3,True,,Bonding mechanisms
Exam 1,b1-c2-s2-q28,1,2,2,28,Copy of Book 1.pdf,91,261,Located in assigned book,1,True,,Bonding mechanisms
Exam 1,b1-c2-s2-q29,1,2,2,29,Copy of Book 1.pdf,91,261,Located in assigned book,4,True,,Bonding mechanisms
Exam 1,b1-c2-s2-q30,1,2,2,30,Copy of Book 1.pdf,91,261,Located in assigned book,4,True,,Bonding mechanisms
Exam 1,b1-c3-s1-q01,1,3,1,1,Copy of Book 1.pdf,115,285,Located in assigned book,1,True,,Bond-property relationships
Exam 1,b1-c3-s1-q02,1,3,1,2,Copy of Book 1.pdf,115,285,Located in assigned book,5,True,,Bond-property relationships
Exam 1,b1-c3-s1-q03,1,3,1,3,Copy of Book 1.pdf,116,286,Located in assigned book,2,True,,Bond-property relationships
Exam 1,b1-c3-s1-q04,1,3,1,4,Copy of Book 1.pdf,116,286,Located in assigned book,4,True,,Bond-property relationships
Exam 1,b1-c3-s1-q05,1,3,1,5,Copy of Book 1.pdf,116,286,Located in assigned book,5,True,,Bond-property relationships
Exam 1,b1-c3-s1-q06,1,3,1,6,Copy of Book 1.pdf,116,286,Located in assigned book,1,True,,Bond-property relationships
Exam 1,b1-c3-s1-q07,1,3,1,7,Copy of Book 1.pdf,116,286,Located in assigned book,3,True,,Bond-property relationships
Exam 1,b1-c3-s1-q08,1,3,1,8,Copy of Book 1.pdf,117,287,Located in assigned book,2,True,,Bond-property relationships
Exam 1,b1-c3-s1-q09,1,3,1,9,Copy of Book 1.pdf,117,287,Located in assigned book,3,True,,Bond-property relationships
Exam 1,b1-c3-s1-q10,1,3,1,10,Copy of Book 1.pdf,117,287,Located in assigned book,2,False,Force and extension can be related in either direction. Two reversed wordings are plausible. Excluded from mastery scoring.,Hooke law
Exam 1,b1-c3-s1-q11,1,3,1,11,Copy of Book 1.pdf,117,287,Located in assigned book,3,True,,Hooke law
Exam 1,b1-c3-s1-q12,1,3,1,12,Copy of Book 1.pdf,118,288,Located in assigned book,4,True,,Hooke law
Exam 1,b1-c3-s1-q13,1,3,1,13,Copy of Book 1.pdf,118,288,Located in assigned book,3,True,,Hooke law
Exam 1,b1-c3-s1-q14,1,3,1,14,Copy of Book 1.pdf,118,288,Located in assigned book,1,True,,Stress and strain
Exam 1,b1-c3-s1-q15,1,3,1,15,Copy of Book 1.pdf,118,288,Located in assigned book,3,True,,Stress and strain
Exam 1,b1-c3-s1-q16,1,3,1,16,Copy of Book 1.pdf,119,289,Located in assigned book,4,True,,Stress and strain
Exam 1,b1-c3-s1-q17,1,3,1,17,Copy of Book 1.pdf,119,289,Located in assigned book,5,True,,Stress and strain
Exam 1,b1-c3-s1-q18,1,3,1,18,Copy of Book 1.pdf,119,289,Located in assigned book,1,True,,Stress and strain
Exam 1,b1-c3-s1-q19,1,3,1,19,Copy of Book 1.pdf,119,289,Located in assigned book,3,True,,Stress and strain
Exam 1,b1-c3-s1-q20,1,3,1,20,Copy of Book 1.pdf,119,289,Located in assigned book,2,True,,Stress and strain
Exam 1,b1-c3-s1-q21,1,3,1,21,Copy of Book 1.pdf,120,290,Located in assigned book,5,True,,Stress and strain
Exam 1,b1-c3-s1-q22,1,3,1,22,Copy of Book 1.pdf,120,290,Located in assigned book,2,True,,Stress and strain
Exam 1,b1-c3-s1-q23,1,3,1,23,Copy of Book 1.pdf,120,290,Located in assigned book,2,True,,Stress and strain
Exam 1,b1-c3-s1-q24,1,3,1,24,Copy of Book 1.pdf,120,290,Located in assigned book,3,True,,Stress and strain
Exam 1,b1-c3-s1-q25,1,3,1,25,Copy of Book 1.pdf,121,291,Located in assigned book,4,True,,Stress and strain
Exam 1,b1-c3-s1-q26,1,3,1,26,Copy of Book 1.pdf,121,291,Located in assigned book,1,True,,Thermal expansion
Exam 1,b1-c3-s1-q27,1,3,1,27,Copy of Book 1.pdf,121,291,Located in assigned book,2,True,,Thermal expansion
Exam 1,b1-c3-s1-q28,1,3,1,28,Copy of Book 1.pdf,121,291,Located in assigned book,2,True,,Thermal expansion
Exam 1,b1-c3-s1-q29,1,3,1,29,Copy of Book 1.pdf,121,291,Located in assigned book,3,True,,Thermal expansion
Exam 1,b1-c3-s1-q30,1,3,1,30,Copy of Book 1.pdf,122,292,Located in assigned book,4,False,"The marked E-glass value appears ten times larger than manufacturer data. The source key is retained for reference, not used for mastery scoring.",Thermal expansion
Exam 1,b1-c3-s2-q01,1,3,2,1,Copy of Book 1.pdf,123,293,Located in assigned book,2,True,,Thermal expansion
Exam 1,b1-c3-s2-q02,1,3,2,2,Copy of Book 1.pdf,123,293,Located in assigned book,1,True,,Thermal expansion
Exam 1,b1-c3-s2-q03,1,3,2,3,Copy of Book 1.pdf,123,293,Located in assigned book,2,False,This comparison depends on the questionable E-glass value in Chapter 3 Set 1 item 30. Excluded from mastery scoring.,Thermal expansion
Exam 1,b1-c3-s2-q04,1,3,2,4,Copy of Book 1.pdf,123,293,Located in assigned book,2,True,,Bond equilibrium
Exam 1,b1-c3-s2-q05,1,3,2,5,Copy of Book 1.pdf,124,294,Located in assigned book,3,True,,Bond equilibrium
Exam 1,b1-c3-s2-q06,1,3,2,6,Copy of Book 1.pdf,124,294,Located in assigned book,4,True,,Bond equilibrium
Exam 1,b1-c3-s2-q07,1,3,2,7,Copy of Book 1.pdf,124,294,Located in assigned book,3,True,,Bond equilibrium
Exam 1,b1-c3-s2-q08,1,3,2,8,Copy of Book 1.pdf,124,294,Located in assigned book,5,True,,Bond equilibrium
Exam 1,b1-c3-s2-q09,1,3,2,9,Copy of Book 1.pdf,125,295,Located in assigned book,4,True,,Bond equilibrium
Exam 1,b1-c3-s2-q10,1,3,2,10,Copy of Book 1.pdf,125,295,Located in assigned book,2,True,Potential energy is the negative integral of physical radial force. The source does not specify its force sign convention.,Bond equilibrium
Exam 1,b1-c3-s2-q11,1,3,2,11,Copy of Book 1.pdf,125,295,Located in assigned book,1,True,,Bond-property relationships
Exam 1,b1-c3-s2-q12,1,3,2,12,Copy of Book 1.pdf,125,295,Located in assigned book,2,True,,Bond-property relationships
Exam 1,b1-c3-s2-q13,1,3,2,13,Copy of Book 1.pdf,126,296,Located in assigned book,1,True,,Bond-property relationships
Exam 1,b1-c3-s2-q14,1,3,2,14,Copy of Book 1.pdf,126,296,Located in assigned book,3,True,,Bond-property relationships
Exam 1,b1-c3-s2-q15,1,3,2,15,Copy of Book 1.pdf,126,296,Located in assigned book,3,True,,Bond-property relationships
Exam 1,b1-c3-s2-q16,1,3,2,16,Copy of Book 1.pdf,126,296,Located in assigned book,4,True,,Bond-property relationships
Exam 1,b1-c3-s2-q17,1,3,2,17,Copy of Book 1.pdf,127,297,Located in assigned book,2,True,,Bond-property relationships
Exam 1,b1-c3-s2-q18,1,3,2,18,Copy of Book 1.pdf,127,297,Located in assigned book,2,True,,Bond-property relationships
Exam 1,b1-c3-s2-q19,1,3,2,19,Copy of Book 1.pdf,127,297,Located in assigned book,3,True,,Bond-property relationships
Exam 1,b1-c3-s2-q20,1,3,2,20,Copy of Book 1.pdf,127,297,Located in assigned book,1,True,,Bond-property relationships
Exam 1,b1-c3-s2-q21,1,3,2,21,Copy of Book 1.pdf,127,297,Located in assigned book,3,True,,Bond-property relationships
Exam 1,b1-c3-s2-q22,1,3,2,22,Copy of Book 1.pdf,128,298,Located in assigned book,1,True,,Bond-property relationships
Exam 1,b1-c3-s2-q23,1,3,2,23,Copy of Book 1.pdf,128,298,Located in assigned book,2,True,,Bond-property relationships
Exam 1,b1-c3-s2-q24,1,3,2,24,Copy of Book 1.pdf,128,298,Located in assigned book,4,True,,Bond-property relationships
Exam 1,b1-c3-s2-q25,1,3,2,25,Copy of Book 1.pdf,128,298,Located in assigned book,2,True,,Bond-property relationships
Exam 1,b1-c3-s2-q26,1,3,2,26,Copy of Book 1.pdf,129,299,Located in assigned book,2,True,,Bond-property relationships
Exam 1,b1-c3-s2-q27,1,3,2,27,Copy of Book 1.pdf,129,299,Located in assigned book,2,True,,Bond-property relationships
Exam 1,b1-c3-s2-q28,1,3,2,28,Copy of Book 1.pdf,129,299,Located in assigned book,4,True,,Processing
Exam 1,b1-c3-s2-q29,1,3,2,29,Copy of Book 1.pdf,129,299,Located in assigned book,2,True,,Processing
Exam 1,b1-c3-s2-q30,1,3,2,30,Copy of Book 1.pdf,130,300,Located in assigned book,3,True,,Processing
Exam 1,b1-c4-s1-q01,1,4,1,1,Copy of Book 1.pdf,149,319,Located in assigned book,5,True,,Crystal order
Exam 1,b1-c4-s1-q02,1,4,1,2,Copy of Book 1.pdf,149,319,Located in assigned book,4,True,,Crystal order
Exam 1,b1-c4-s1-q03,1,4,1,3,Copy of Book 1.pdf,150,320,Located in assigned book,3,True,,Crystal order
Exam 1,b1-c4-s1-q04,1,4,1,4,Copy of Book 1.pdf,150,320,Located in assigned book,2,True,,Crystal order
Exam 1,b1-c4-s1-q05,1,4,1,5,Copy of Book 1.pdf,150,320,Located in assigned book,1,True,,Unit-cell geometry
Exam 1,b1-c4-s1-q06,1,4,1,6,Copy of Book 1.pdf,150,320,Located in assigned book,5,True,,Unit-cell geometry
Exam 1,b1-c4-s1-q07,1,4,1,7,Copy of Book 1.pdf,150,320,Located in assigned book,1,True,,Unit-cell geometry
Exam 1,b1-c4-s1-q08,1,4,1,8,Copy of Book 1.pdf,151,321,Located in assigned book,2,True,,Unit-cell geometry
Exam 1,b1-c4-s1-q09,1,4,1,9,Copy of Book 1.pdf,151,321,Located in assigned book,3,True,,Crystal systems
Exam 1,b1-c4-s1-q10,1,4,1,10,Copy of Book 1.pdf,151,321,Located in assigned book,2,True,,Bravais lattices
Exam 1,b1-c4-s1-q11,1,4,1,11,Copy of Book 1.pdf,151,321,Located in assigned book,1,True,,Crystal structures
Exam 1,b1-c4-s1-q12,1,4,1,12,Copy of Book 1.pdf,151,322,Located in assigned book,2,True,,Crystal structures
Exam 1,b1-c4-s1-q13,1,4,1,13,Copy of Book 1.pdf,152,322,Located in assigned book,3,True,,Crystal structures
Exam 1,b1-c4-s1-q14,1,4,1,14,Copy of Book 1.pdf,152,322,Located in assigned book,2,True,,Crystal structures
Exam 1,b1-c4-s1-q15,1,4,1,15,Copy of Book 1.pdf,152,322,Located in assigned book,1,True,,Unit-cell geometry
Exam 1,b1-c4-s1-q16,1,4,1,16,Copy of Book 1.pdf,152,322,Located in assigned book,2,True,,Crystal structures
Exam 1,b1-c4-s1-q17,1,4,1,17,Copy of Book 1.pdf,153,323,Located in assigned book,1,True,,Crystal order
Exam 1,b1-c4-s1-q18,1,4,1,18,Copy of Book 1.pdf,153,323,Located in assigned book,3,True,,Crystal order
Exam 1,b1-c4-s1-q19,1,4,1,19,Copy of Book 1.pdf,153,323,Located in assigned book,2,True,A primitive cell is minimum-volume. A conventional unit cell may be larger for symmetry.,Crystal order
Exam 1,b1-c4-s1-q20,1,4,1,20,Copy of Book 1.pdf,153,323,Located in assigned book,3,True,,Unit-cell geometry
Exam 1,b1-c4-s1-q21,1,4,1,21,Copy of Book 1.pdf,153,323,Located in assigned book,4,True,,Unit-cell geometry
Exam 1,b1-c4-s1-q22,1,4,1,22,Copy of Book 1.pdf,154,324,Located in assigned book,5,True,,Unit-cell geometry
Exam 1,b1-c4-s1-q23,1,4,1,23,Copy of Book 1.pdf,154,324,Located in assigned book,1,True,"One atom per lattice point is the chapter’s simple metal model, not a universal rule.",Crystal order
Exam 1,b1-c4-s1-q24,1,4,1,24,Copy of Book 1.pdf,154,324,Located in assigned book,3,True,,Crystal order
Exam 1,b1-c4-s1-q25,1,4,1,25,Copy of Book 1.pdf,154,324,Located in assigned book,5,True,,Crystal order
Exam 1,b1-c4-s1-q26,1,4,1,26,Copy of Book 1.pdf,154,325,Located in assigned book,4,True,,Crystal structures
Exam 1,b1-c4-s1-q27,1,4,1,27,Copy of Book 1.pdf,155,325,Located in assigned book,2,True,,Crystal order
Exam 1,b1-c4-s1-q28,1,4,1,28,Copy of Book 1.pdf,155,325,Located in assigned book,3,True,The minimum-volume qualifier strictly applies to a primitive cell.,Crystal order
